# Nominal Omega [RPM]	Nominal R [Ohm]	Measured Omega [RPM]	Measured R [Ohm]	 Measured Power [W]	 Measured Voltage [V]	Measured Current [A]
   0.00000	   0.00000	5727.50760	   0.58720	   2.00922	   1.05384	   1.88451
   0.00000	  10.00000	6325.71436	   0.50557	   2.73809	   1.10319	   2.40942
   0.00000	  20.00000	6147.09560	   0.47789	   3.05914	   1.12546	   2.63085
  10.00000	   0.00000	5991.07989	   0.60247	   2.07295	   1.05966	   1.90773
  10.00000	  10.00000	7199.98281	   0.45544	   3.45580	   1.15382	   2.89569
  10.00000	  20.00000	7199.97199	   0.36942	   4.51664	   1.22777	   3.62331
  20.00000	   0.00000	5991.09269	   0.60623	   2.03850	   1.05728	   1.88322
  20.00000	  10.00000	7200.00009	   0.46053	   3.40930	   1.15061	   2.86261
  20.00000	  20.00000	7199.99728	   0.37687	   4.44859	   1.22307	   3.57489
  30.00000	   0.00000	6025.86067	   0.59699	   2.13117	   1.06361	   1.94879
  30.00000	  10.00000	7199.97240	   0.45378	   3.48044	   1.15548	   2.91257
  30.00000	  20.00000	7199.95762	   0.37179	   4.49340	   1.22607	   3.60734
  40.00000	   0.00000	6047.95534	   0.59997	   2.11015	   1.06218	   1.93324
  40.00000	  10.00000	7199.96409	   0.46131	   3.41878	   1.15128	   2.86782
  40.00000	  20.00000	7199.94633	   0.38542	   4.36969	   1.21758	   3.51899
  50.00000	   0.00000	6008.73256	   0.60208	   2.08105	   1.06017	   1.91322
  50.00000	  10.00000	7199.98880	   0.45781	   3.43957	   1.15266	   2.88369
  50.00000	  20.00000	7199.98098	   0.37531	   4.46293	   1.22399	   3.58521
